comment_class,comment_text,category,reply_count,like_count,video_name,date
0,First . Burr,,0,0,https://www.youtube.com/watch?v=8Owr_qL-FeA,2017-12-22T07:57:23.000Z
0,First,,0,0,,2017-12-22T07:57:35.000Z
0,1st to comment,,0,1,,2017-12-22T07:57:49.000Z
11,Forth one nigga,11,0,0,,2017-12-22T07:58:37.000Z
0,What’s good,,0,2,,2017-12-22T08:00:31.000Z
11,Lit shit,11,0,1,,2017-12-22T08:01:56.000Z
0,"Mannnn, if just one person reads this it will make my day. I am a music artist from Los Angeles. Well im totally aware that people put these comments all the time, though I sincerely believe that I will be the guy you will be joyfuly you really gave a chance. I am nearing almost 18,700 subs and steady counting. If ONE PERSON could just give this a thumbs up, you will be a step closer to helping a person's dreams come true. I swear that I do not suck and you will not be disappointed. I Just need one chance and NUMBER minutes.",10,5,22,,2017-12-22T08:02:25.000Z
9,<NULL>,,0,0,,2017-12-22T08:03:06.000Z
11,i waiting for this shit all day,3,0,0,,2017-12-22T08:03:51.000Z
0,Side effect they get rich they turn evil,10,1,0,,2017-12-22T08:05:16.000Z
0,Real brothas here b4 NUMBER views - 127th,10,0,0,,2017-12-22T08:05:59.000Z
0,"Mr. Mane... bruhh, it is 2am. How do you think it is appropriate for you to have my walls rumbling from bass this damn late?",8,9,99,,2017-12-22T08:08:51.000Z
0,16th mardy,,0,0,,2017-12-22T08:09:14.000Z
0,Yeah Gucci ate this one..,8,0,42,,2017-12-22T08:10:00.000Z
0,commet one of first,,0,0,,2017-12-22T08:15:18.000Z
9,<NULL>,,0,0,,2017-12-22T08:21:34.000Z
9,<NULL>,,0,0,,2017-12-22T08:35:13.000Z
0,Remade the Beat(Instrumental):,,0,0,,2017-12-22T08:39:56.000Z
0,This album dropped 3am eastern time who up Orlando in this bihh,8,4,34,,2017-12-22T08:54:43.000Z
0,GUCCI COME TO BASEL,,0,5,,2017-12-22T09:02:26.000Z
0,FIRE!!!,,0,1,,2017-12-22T09:07:27.000Z
0,best song on this album,3,0,2,,2017-12-22T09:10:38.000Z
9,<NULL>,,0,1,,2017-12-22T09:10:48.000Z
0,The G.O.A.T,8,0,43,,2017-12-22T09:13:21.000Z
0,From Russia respect Gucci mane Trap God,3,2,107,,2017-12-22T09:37:54.000Z
0,Gucci the hottest mc in the game,3,2,25,,2017-12-22T09:38:44.000Z
0,Did Gucci get fat again? Because damn,8,2,87,,2017-12-22T09:45:37.000Z
11,Fucked that bitch from back now she pregnat,11,0,0,,2017-12-22T09:56:57.000Z
0,Hardest track om 🤔🤷‍️,,0,22,,2017-12-22T09:58:33.000Z
0,Real Gucci fans will not claim this the worst song on the tape dis  and the tape too,3,0,3,,2017-12-22T10:15:30.000Z
0,"best song, just a godly verse, enough",3,0,22,,2017-12-22T10:39:26.000Z
11,whole tape is ass just being honest,11,8,3,,2017-12-22T10:43:24.000Z
0,aaayee I am the NUMBER comment lmao haha can I get a like for no reason,10,0,8,,2017-12-22T10:47:03.000Z
