comment_class,comment category,comment_text,reply_count,like_count,video_name,date
0,,First,0,1,https://www.youtube.com/watch?v=J4aj7gp7vj4,2017-09-01T17:01:08.000Z
0,,firs,0,3,,2017-09-01T17:01:15.000Z
9,,<NULL>,0,0,,2017-09-01T17:01:45.000Z
0,,Love ur videos,0,0,,2017-09-01T17:01:53.000Z
0,,NOTIFICATION SQUAAA!!!,0,2,,2017-09-01T17:01:57.000Z
0,,6 ah crap not first,0,2,,2017-09-01T17:02:09.000Z
0,3,This guy needs NUMBER - NUMBER million subscribers.,0,25,,2017-09-01T17:02:22.000Z
0,,Notification squad,0,0,,2017-09-01T17:02:22.000Z
0,3,Love you videos .... From India like would help and can you do a give away to India please frank,0,2,,2017-09-01T17:02:25.000Z
0,,Hellllo sir,0,0,,2017-09-01T17:02:46.000Z
11,,I eat ass,1,0,,2017-09-01T17:02:50.000Z
9,,<NULL>,0,0,,2017-09-01T17:03:00.000Z
0,2,i use mionix caster and a redragon rgb mechanical keyboardwat u guys using? leave a comment. also anyone else watch SpeirsTheAmazingHD?,22,6,,2017-09-01T17:03:08.000Z
0,,Eid Mubarak Brothers,33,108,,2017-09-01T17:04:38.000Z
9,,<NULL>,0,0,,2017-09-01T17:04:41.000Z
0,8,I was just browsing the logitech shop and was looking at these mouse and keyboard and then you uploaded this review...Coincidence?I think not!,6,196,,2017-09-01T17:04:44.000Z
9,,<NULL>,0,0,,2017-09-01T17:06:15.000Z
0,4,Am I the only one who despises romer-g switches? They feel so mushy to me.,0,0,,2017-09-01T17:09:32.000Z
0,2,Any difference in latency for bluetooth and adapter usage?,2,0,,2017-09-01T17:12:22.000Z
0,,Squaddd!,0,0,,2017-09-01T17:12:38.000Z
0,3,I Wish i got My gaming pc already,0,3,,2017-09-01T17:14:35.000Z
0,3,Bye bye to my g602,1,0,,2017-09-01T17:15:18.000Z
0,10,Hangnail at 4:04 :(,0,0,,2017-09-01T17:15:27.000Z
0,,hay big fan,0,0,,2017-09-01T17:16:11.000Z
